symbol,donchian,atr_mult,atr_p,sharpe,mdd,pnl
2317.TW,10,1.5,10,0.92,-19.67,47.5
2317.TW,10,1.5,14,0.7,-19.66,32.5
2317.TW,10,1.5,20,0.73,-19.66,33.85
2317.TW,10,2.0,10,0.82,-19.67,41.27
2317.TW,10,2.0,14,0.82,-19.67,41.27
2317.TW,10,2.0,20,0.82,-19.67,41.27
2317.TW,10,2.5,10,0.82,-19.67,41.27
2317.TW,10,2.5,14,0.82,-19.67,41.27
2317.TW,10,2.5,20,0.82,-19.67,41.27
2317.TW,10,3.0,10,0.82,-19.67,41.27
2317.TW,10,3.0,14,0.82,-19.67,41.27
2317.TW,10,3.0,20,0.82,-19.67,41.27
2317.TW,20,1.5,10,0.77,-21.09,34.64
2317.TW,20,1.5,14,0.52,-21.4,20.51
2317.TW,20,1.5,20,0.55,-21.41,21.71
2317.TW,20,2.0,10,0.69,-21.09,30.65
2317.TW,20,2.0,14,0.69,-21.09,30.65
2317.TW,20,2.0,20,0.69,-21.09,30.65
2317.TW,20,2.5,10,0.69,-21.09,30.65
2317.TW,20,2.5,14,0.69,-21.09,30.65
2317.TW,20,2.5,20,0.69,-21.09,30.65
2317.TW,20,3.0,10,0.69,-21.09,30.65
2317.TW,20,3.0,14,0.69,-21.09,30.65
2317.TW,20,3.0,20,0.69,-21.09,30.65
2317.TW,40,1.5,10,0.62,-23.43,25.88
2317.TW,40,1.5,14,0.43,-23.73,16.09
2317.TW,40,1.5,20,0.17,-24.5,4.78
2317.TW,40,2.0,10,0.46,-25.03,18.16
2317.TW,40,2.0,14,0.46,-25.03,18.16
2317.TW,40,2.0,20,0.46,-25.03,18.16
2317.TW,40,2.5,10,0.46,-25.03,18.16
2317.TW,40,2.5,14,0.46,-25.03,18.16
2317.TW,40,2.5,20,0.46,-25.03,18.16
2317.TW,40,3.0,10,0.46,-25.03,18.16
2317.TW,40,3.0,14,0.46,-25.03,18.16
2317.TW,40,3.0,20,0.46,-25.03,18.16
2317.TW,60,1.5,10,0.02,-28.33,-1.88
2317.TW,60,1.5,14,-0.26,-30.91,-12.31
2317.TW,60,1.5,20,-0.49,-30.8,-18.3
2317.TW,60,2.0,10,0.16,-28.33,3.81
2317.TW,60,2.0,14,0.16,-28.33,3.81
2317.TW,60,2.0,20,0.16,-28.33,3.81
2317.TW,60,2.5,10,0.16,-28.33,3.81
2317.TW,60,2.5,14,0.16,-28.33,3.81
2317.TW,60,2.5,20,0.16,-28.33,3.81
2317.TW,60,3.0,10,0.16,-28.33,3.81
2317.TW,60,3.0,14,0.16,-28.33,3.81
2317.TW,60,3.0,20,0.16,-28.33,3.81
2317.TW,80,1.5,10,-0.1,-19.33,-3.47
